district,year,season,crop,sowing_date,harvest_date,estimated_yield_kg_per_ha,ndvi.early,ndvi.mid,ndvi.late,soil_type,ph_range,organic_carbon,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,annual_avg_rainfall_mm,monsoon_rainfall_mm,avg_annual_temp_C,avg_max_temp_C,avg_min_temp_C,avg_relative_humidity_pct,growing_degree_days_GDD,typical_monsoon_onset,typical_monsoon_end,notes,ndvi.early_from_ndvi,ndvi.mid_from_ndvi,ndvi.late_from_ndvi
Amritsar,2023,Rabi,Wheat,2023-11-15,2024-04-10,2755,0.27,0.47,0.38,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Rabi,Barley,2023-11-15,2024-04-10,2095,0.23,0.34,0.25,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Rabi,Mustard,2023-11-15,2024-04-10,1654,0.32,0.49,0.44,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Kharif,Paddy,2023-06-20,2023-10-15,3737,0.24,0.37,0.29,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Kharif,Maize,2023-06-20,2023-10-15,2650,0.29,0.42,0.34,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Kharif,Cotton,2023-06-20,2023-10-15,2277,0.27,0.42,0.33,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Zaid,Moong,2023-03-15,2023-06-10,2036,0.24,0.39,0.31,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Zaid,Vegetables,2023-03-15,2023-06-10,1845,0.23,0.34,0.24,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2023,Zaid,Sunflower,2023-03-15,2023-06-10,2087,0.39,0.57,0.5,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Amritsar,2024,Rabi,Wheat,2024-11-15,2025-04-10,2945,0.29,0.4,0.33,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.22,0.44,0.35
